Datetime,Inova Sup RHT - 337457Val1,Inova Sup RHT - 337457Val2,Inova Sup RHT - 337457Val3,Inova Sup RHT - 337457Val4,Inova Sup RHT - 337457Val5,Inova Sup RHT - 337457Val6
2021-09-26 04:33:00,66.47,16.37,10.1,54.2,15.8,-999.0
2021-09-26 04:34:00,66.47,16.36,10.1,54.1,15.8,-999.0
2021-09-26 04:35:00,66.45,16.36,10.1,54.1,15.8,-999.0
2021-09-26 04:36:00,66.47,16.35,10.1,54.1,15.8,-999.0
2021-09-26 04:37:00,66.45,16.35,10.1,54.1,15.8,-999.0
2021-09-26 04:38:00,66.47,16.35,10.1,54.1,15.8,-999.0
2021-09-26 04:39:00,66.47,16.35,10.1,54.1,15.8,-999.0
2021-09-26 04:40:00,66.47,16.35,10.1,54.1,15.8,-999.0
2021-09-26 04:41:00,66.47,16.35,10.1,54.1,15.8,-999.0
2021-09-26 04:42:00,66.47,16.35,10.1,54.1,15.8,12.5
2021-09-26 04:43:00,66.47,16.34,10.1,54.1,15.8,12.5
2021-09-26 04:44:00,66.47,16.34,10.1,54.1,15.8,12.5
2021-09-26 04:45:00,66.47,16.34,10.1,54.1,15.8,12.5
2021-09-26 04:46:00,66.47,16.33,10.1,54.0,15.8,12.5
2021-09-26 04:47:00,66.47,16.33,10.1,54.0,15.8,-999.0
2021-09-26 04:48:00,66.47,16.33,10.1,54.0,15.8,-999.0
2021-09-26 04:49:00,66.47,16.32,10.1,54.0,15.7,-999.0
2021-09-26 04:50:00,66.47,16.32,10.1,54.0,15.7,-999.0
2021-09-26 04:51:00,66.47,16.32,10.1,54.0,15.7,-999.0
2021-09-26 04:52:00,66.47,16.32,10.1,54.0,15.7,-999.0
2021-09-26 04:53:00,66.47,16.32,10.1,54.0,15.7,-999.0
2021-09-26 04:54:00,66.47,16.31,10.1,54.0,15.7,-999.0
2021-09-26 04:55:00,66.47,16.31,10.1,54.0,15.7,-999.0
2021-09-26 04:56:00,66.47,16.29,10.0,53.9,15.7,-999.0
2021-09-26 04:57:00,66.47,16.29,10.0,53.9,15.7,-999.0
2021-09-26 04:58:00,66.47,16.29,10.0,53.9,15.7,-999.0
2021-09-26 04:59:00,66.47,16.28,10.0,53.9,15.7,-999.0
2021-09-26 05:00:00,66.47,16.29,10.0,53.9,15.7,-999.0
2021-09-26 05:01:00,66.47,16.28,10.0,53.9,15.7,-999.0
2021-09-26 05:02:00,66.47,16.28,10.0,53.9,15.7,-999.0
2021-09-26 05:03:00,66.47,16.27,10.0,53.8,15.7,-999.0
2021-09-26 05:04:00,66.47,16.27,10.0,53.8,15.7,-999.0
2021-09-26 05:05:00,66.47,16.26,10.0,53.8,15.7,-999.0
2021-09-26 05:06:00,66.47,16.26,10.0,53.8,15.7,-999.0
2021-09-26 05:07:00,66.47,16.26,10.0,53.8,15.7,-999.0
2021-09-26 05:08:00,66.47,16.26,10.0,53.8,15.7,-999.0
2021-09-26 05:09:00,66.47,16.26,10.0,53.8,15.7,-999.0
2021-09-26 05:10:00,66.47,16.25,10.0,53.7,15.7,-999.0
2021-09-26 05:11:00,66.47,16.25,10.0,53.7,15.7,-999.0
2021-09-26 05:12:00,66.47,16.25,10.0,53.7,15.7,12.4
2021-09-26 05:13:00,66.47,16.25,10.0,53.7,15.7,12.4
2021-09-26 05:14:00,66.47,16.24,10.0,53.7,15.7,12.4
2021-09-26 05:15:00,66.47,16.24,10.0,53.7,15.7,12.4
2021-09-26 05:16:00,66.47,16.24,10.0,53.7,15.7,12.4
2021-09-26 05:17:00,66.5,16.23,10.0,53.7,15.6,12.4
2021-09-26 05:18:00,66.5,16.23,10.0,53.7,15.6,12.4
2021-09-26 05:19:00,66.5,16.23,10.0,53.7,15.6,12.4
2021-09-26 05:20:00,66.5,16.22,10.0,53.7,15.6,12.4
2021-09-26 05:21:00,66.5,16.22,10.0,53.7,15.6,12.4
2021-09-26 05:22:00,66.5,16.22,10.0,53.7,15.6,12.4
2021-09-26 05:23:00,66.5,16.21,10.0,53.6,15.6,12.4
